denylist_tier,openalex_id,s2_id,arxiv_id,doi,title,year,venue,domain,sources
1hop_referenced,https://openalex.org/W3041956526,,,https://doi.org/10.48550/arxiv.2007.03898,NVAE: A Deep Hierarchical Variational Autoencoder,2020,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3103556460,,,,Fast Fourier Convolution,2020,Neural Information Processing Systems,,
1hop_referenced,https://openalex.org/W3110257065,,,https://doi.org/10.48550/arxiv.2011.13456,Score-Based Generative Modeling through Stochastic Differential Equations,2020,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3111387095,,,https://doi.org/10.48550/arxiv.2012.02516,A Note on Data Biases in Generative Models,2020,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3118605064,,,https://doi.org/10.48550/arxiv.2010.00654,VAEBM: A Symbiosis between Variational Autoencoders and Energy-based\n Models,2020,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3120110650,,,,,,,,
1hop_referenced,https://openalex.org/W3120243996,,,https://doi.org/10.48550/arxiv.2011.10650,Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them\n on Images,2020,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3121370741,,,,,,,,
1hop_referenced,https://openalex.org/W3121480429,,,https://doi.org/10.48550/arxiv.1811.00982,"The Open Images Dataset V4: Unified image classification, object detection, and visual relationship detection at scale",2018,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3123097577,,,,,,,,
1hop_referenced,https://openalex.org/W3129576130,,,https://doi.org/10.48550/arxiv.2102.12092,Zero-Shot Text-to-Image Generation,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3129651364,,,,,,,,
1hop_referenced,https://openalex.org/W3130440474,,,https://doi.org/10.48550/arxiv.2103.10428,Large Scale Image Completion via Co-Modulated Generative Adversarial Networks,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3140633421,,,https://doi.org/10.48550/arxiv.2104.02600,Noise Estimation for Generative Diffusion Models,2021,arXiv (Cornell University),,
